millis,stamp,datetime,motion,humidity,temperature,sound
999, 1568386573, 2019/9/13 14:56:13, Active, 33.40, 24.50, 37
1998, 1568386574, 2019/9/13 14:56:14, Active, 33.40, 24.50, 36
2999, 1568386575, 2019/9/13 14:56:15, Active, 33.40, 24.60, 36
3998, 1568386576, 2019/9/13 14:56:16, Active, 33.40, 24.60, 36
4999, 1568386577, 2019/9/13 14:56:17, Active, 33.30, 24.50, 37
5998, 1568386578, 2019/9/13 14:56:18, Active, 33.30, 24.50, 36
6999, 1568386579, 2019/9/13 14:56:19, Active, 33.30, 24.50, 36
8000, 1568386580, 2019/9/13 14:56:20, Active, 33.30, 24.50, 36
8999, 1568386581, 2019/9/13 14:56:21, Active, 33.30, 24.50, 36
9999, 1568386582, 2019/9/13 14:56:22, Active, 33.30, 24.50, 35
10998, 1568386583, 2019/9/13 14:56:23, Active, 33.30, 24.50, 37
11999, 1568386584, 2019/9/13 14:56:24, Active, 33.40, 24.50, 37
12998, 1568386585, 2019/9/13 14:56:25, Active, 33.40, 24.50, 36
14000, 1568386586, 2019/9/13 14:56:26, Active, 33.40, 24.50, 37
15000, 1568386587, 2019/9/13 14:56:27, Inactive, 33.40, 24.50, 36
15998, 1568386588, 2019/9/13 14:56:28, Inactive, 33.40, 24.50, 37
16999, 1568386589, 2019/9/13 14:56:29, Active, 33.40, 24.50, 37
17998, 1568386590, 2019/9/13 14:56:30, Active, 33.40, 24.50, 37
19000, 1568386591, 2019/9/13 14:56:31, Active, 33.40, 24.50, 36
19998, 1568386592, 2019/9/13 14:56:32, Active, 33.50, 24.50, 37
20999, 1568386593, 2019/9/13 14:56:33, Active, 33.50, 24.50, 37
21999, 1568386594, 2019/9/13 14:56:34, Active, 33.50, 24.50, 37
23000, 1568386595, 2019/9/13 14:56:35, Active, 33.50, 24.50, 37
24000, 1568386596, 2019/9/13 14:56:36, Active, 33.50, 24.50, 37
24999, 1568386597, 2019/9/13 14:56:37, Active, 33.50, 24.50, 37
25999, 1568386598, 2019/9/13 14:56:38, Active, 33.50, 24.50, 36
26999, 1568386599, 2019/9/13 14:56:39, Active, 33.50, 24.50, 37
28000, 1568386600, 2019/9/13 14:56:40, Active, 33.50, 24.50, 37
28998, 1568386601, 2019/9/13 14:56:41, Active, 33.50, 24.50, 37
30000, 1568386602, 2019/9/13 14:56:42, Active, 34.10, 24.50, 37
30999, 1568386603, 2019/9/13 14:56:43, Active, 34.10, 24.50, 37
31998, 1568386604, 2019/9/13 14:56:44, Active, 34.00, 24.60, 37
33000, 1568386605, 2019/9/13 14:56:45, Active, 34.00, 24.60, 36
33998, 1568386606, 2019/9/13 14:56:46, Active, 34.00, 24.60, 37
35000, 1568386607, 2019/9/13 14:56:47, Active, 33.80, 24.50, 37
35999, 1568386608, 2019/9/13 14:56:48, Active, 33.80, 24.50, 37
36999, 1568386609, 2019/9/13 14:56:49, Active, 33.80, 24.50, 37
38000, 1568386610, 2019/9/13 14:56:50, Active, 33.70, 24.50, 36
39000, 1568386611, 2019/9/13 14:56:51, Active, 33.70, 24.50, 37
40000, 1568386612, 2019/9/13 14:56:52, Active, 33.60, 24.50, 37
40999, 1568386613, 2019/9/13 14:56:53, Active, 33.60, 24.50, 37
41999, 1568386614, 2019/9/13 14:56:54, Active, 33.60, 24.50, 36
42999, 1568386615, 2019/9/13 14:56:55, Active, 33.50, 24.50, 38
44000, 1568386616, 2019/9/13 14:56:56, Active, 33.50, 24.50, 29
44998, 1568386617, 2019/9/13 14:56:57, Active, 33.50, 24.50, 35
46000, 1568386618, 2019/9/13 14:56:58, Active, 33.70, 24.60, 35
47000, 1568386619, 2019/9/13 14:56:59, Active, 33.70, 24.60, 31
48000, 1568386620, 2019/9/13 14:57:0, Active, 33.80, 24.60, 32
48999, 1568386621, 2019/9/13 14:57:1, Active, 33.80, 24.60, 35
49998, 1568386622, 2019/9/13 14:57:2, Inactive, 33.80, 24.60, 36
51000, 1568386623, 2019/9/13 14:57:3, Inactive, 34.00, 24.50, 36
51999, 1568386624, 2019/9/13 14:57:4, Inactive, 34.00, 24.50, 41
52999, 1568386625, 2019/9/13 14:57:5, Inactive, 34.00, 24.50, 41
53999, 1568386627, 2019/9/13 14:57:7, Inactive, 34.00, 24.50, 41
55000, 1568386628, 2019/9/13 14:57:8, Inactive, 33.90, 24.60, 41
55999, 1568386629, 2019/9/13 14:57:9, Inactive, 33.90, 24.60, 42
56999, 1568386630, 2019/9/13 14:57:10, Inactive, 33.90, 24.60, 42
57999, 1568386631, 2019/9/13 14:57:11, Inactive, 33.70, 24.60, 43
58999, 1568386632, 2019/9/13 14:57:12, Inactive, 33.70, 24.60, 42
59999, 1568386633, 2019/9/13 14:57:13, Inactive, 33.60, 24.50, 42
60999, 1568386634, 2019/9/13 14:57:14, Inactive, 33.60, 24.50, 42
61999, 1568386635, 2019/9/13 14:57:15, Inactive, 33.60, 24.50, 42
62998, 1568386636, 2019/9/13 14:57:16, Inactive, 33.60, 24.50, 43
63998, 1568386637, 2019/9/13 14:57:17, Inactive, 33.60, 24.50, 43
64999, 1568386638, 2019/9/13 14:57:18, Inactive, 33.50, 24.50, 42
65999, 1568386639, 2019/9/13 14:57:19, Inactive, 33.50, 24.50, 42
66999, 1568386640, 2019/9/13 14:57:20, Inactive, 33.50, 24.50, 42
67998, 1568386641, 2019/9/13 14:57:21, Inactive, 33.50, 24.50, 45
68999, 1568386642, 2019/9/13 14:57:22, Inactive, 33.50, 24.50, 45
69999, 1568386643, 2019/9/13 14:57:23, Inactive, 33.50, 24.50, 45
70999, 1568386644, 2019/9/13 14:57:24, Inactive, 33.40, 24.50, 45
71999, 1568386645, 2019/9/13 14:57:25, Inactive, 33.40, 24.50, 44
72999, 1568386646, 2019/9/13 14:57:26, Inactive, 33.40, 24.60, 45
73999, 1568386647, 2019/9/13 14:57:27, Inactive, 33.40, 24.60, 44
74999, 1568386648, 2019/9/13 14:57:28, Inactive, 33.30, 24.50, 44
76000, 1568386649, 2019/9/13 14:57:29, Inactive, 33.30, 24.50, 44
76999, 1568386650, 2019/9/13 14:57:30, Inactive, 33.30, 24.50, 44
78000, 1568386651, 2019/9/13 14:57:31, Inactive, 33.20, 24.50, 44
78999, 1568386652, 2019/9/13 14:57:32, Inactive, 33.20, 24.50, 44
80000, 1568386653, 2019/9/13 14:57:33, Inactive, 33.20, 24.50, 44
80998, 1568386654, 2019/9/13 14:57:34, Inactive, 33.20, 24.50, 45
81998, 1568386655, 2019/9/13 14:57:35, Inactive, 33.20, 24.50, 45
83000, 1568386656, 2019/9/13 14:57:36, Inactive, 33.20, 24.50, 45
83999, 1568386657, 2019/9/13 14:57:37, Inactive, 33.20, 24.50, 45
84999, 1568386658, 2019/9/13 14:57:38, Inactive, 33.20, 24.50, 45
85999, 1568386659, 2019/9/13 14:57:39, Inactive, 33.20, 24.50, 44
87000, 1568386660, 2019/9/13 14:57:40, Inactive, 33.20, 24.50, 45
87998, 1568386661, 2019/9/13 14:57:41, Inactive, 33.20, 24.50, 45
88998, 1568386662, 2019/9/13 14:57:42, Inactive, 33.20, 24.50, 45
89999, 1568386663, 2019/9/13 14:57:43, Inactive, 33.20, 24.50, 45
90999, 1568386664, 2019/9/13 14:57:44, Inactive, 33.20, 24.50, 45
91998, 1568386665, 2019/9/13 14:57:45, Inactive, 33.10, 24.50, 45
92999, 1568386666, 2019/9/13 14:57:46, Inactive, 33.10, 24.50, 45
93999, 1568386667, 2019/9/13 14:57:47, Inactive, 33.10, 24.50, 45
94999, 1568386668, 2019/9/13 14:57:48, Inactive, 33.10, 24.50, 45
96000, 1568386669, 2019/9/13 14:57:49, Inactive, 33.10, 24.50, 45
96999, 1568386670, 2019/9/13 14:57:50, Inactive, 33.10, 24.50, 45
97999, 1568386671, 2019/9/13 14:57:51, Inactive, 33.10, 24.50, 45
98999, 1568386672, 2019/9/13 14:57:52, Inactive, 33.30, 24.50, 45
99999, 1568386673, 2019/9/13 14:57:53, Inactive, 33.30, 24.50, 45
101000, 1568386674, 2019/9/13 14:57:54, Inactive, 33.30, 24.50, 45
101999, 1568386675, 2019/9/13 14:57:55, Inactive, 33.30, 24.50, 45
102999, 1568386676, 2019/9/13 14:57:56, Inactive, 33.30, 24.50, 45
103999, 1568386677, 2019/9/13 14:57:57, Inactive, 33.10, 24.40, 45
104999, 1568386678, 2019/9/13 14:57:58, Inactive, 33.10, 24.40, 45
105999, 1568386679, 2019/9/13 14:57:59, Inactive, 33.10, 24.40, 45
106999, 1568386680, 2019/9/13 14:58:0, Inactive, 33.10, 24.40, 45
107999, 1568386681, 2019/9/13 14:58:1, Inactive, 33.00, 24.40, 45
108999, 1568386682, 2019/9/13 14:58:2, Inactive, 33.00, 24.40, 45
110000, 1568386683, 2019/9/13 14:58:3, Inactive, 33.00, 24.40, 45
110999, 1568386684, 2019/9/13 14:58:4, Inactive, 33.00, 24.40, 45
112000, 1568386685, 2019/9/13 14:58:5, Inactive, 33.00, 24.40, 45
112998, 1568386686, 2019/9/13 14:58:6, Inactive, 33.00, 24.40, 45
113999, 1568386687, 2019/9/13 14:58:7, Inactive, 33.00, 24.40, 45
114999, 1568386688, 2019/9/13 14:58:8, Inactive, 33.00, 24.40, 45
115999, 1568386689, 2019/9/13 14:58:9, Inactive, 33.00, 24.40, 45
117000, 1568386690, 2019/9/13 14:58:10, Inactive, 33.00, 24.40, 45
117999, 1568386691, 2019/9/13 14:58:11, Inactive, 33.00, 24.40, 45
118999, 1568386692, 2019/9/13 14:58:12, Inactive, 33.00, 24.40, 45
119999, 1568386693, 2019/9/13 14:58:13, Inactive, 33.00, 24.40, 45
120999, 1568386694, 2019/9/13 14:58:14, Inactive, 33.00, 24.40, 45
121999, 1568386695, 2019/9/13 14:58:15, Inactive, 32.90, 24.40, 46
122999, 1568386696, 2019/9/13 14:58:16, Inactive, 32.90, 24.40, 46
123999, 1568386697, 2019/9/13 14:58:17, Inactive, 33.00, 24.40, 46
124999, 1568386698, 2019/9/13 14:58:18, Inactive, 33.00, 24.40, 46
126000, 1568386699, 2019/9/13 14:58:19, Inactive, 32.90, 24.30, 45
126999, 1568386700, 2019/9/13 14:58:20, Inactive, 32.90, 24.30, 46
128000, 1568386701, 2019/9/13 14:58:21, Inactive, 32.90, 24.30, 46
128999, 1568386702, 2019/9/13 14:58:22, Inactive, 33.00, 24.40, 46
129998, 1568386703, 2019/9/13 14:58:23, Inactive, 33.00, 24.40, 46
130999, 1568386704, 2019/9/13 14:58:24, Inactive, 33.10, 24.40, 46
131999, 1568386705, 2019/9/13 14:58:25, Active, 33.10, 24.40, 46
133000, 1568386706, 2019/9/13 14:58:26, Active, 33.10, 24.40, 47
133998, 1568386707, 2019/9/13 14:58:27, Active, 33.10, 24.30, 47
135000, 1568386708, 2019/9/13 14:58:28, Active, 33.10, 24.30, 46
135999, 1568386709, 2019/9/13 14:58:29, Active, 33.10, 24.30, 47
136999, 1568386710, 2019/9/13 14:58:30, Inactive, 33.10, 24.30, 47
138000, 1568386711, 2019/9/13 14:58:31, Inactive, 33.10, 24.30, 47
138999, 1568386712, 2019/9/13 14:58:32, Inactive, 33.10, 24.30, 47
139998, 1568386713, 2019/9/13 14:58:33, Inactive, 33.10, 24.30, 47
140999, 1568386714, 2019/9/13 14:58:34, Inactive, 33.10, 24.30, 47
142000, 1568386715, 2019/9/13 14:58:35, Inactive, 33.20, 24.30, 47
142999, 1568386716, 2019/9/13 14:58:36, Inactive, 33.20, 24.30, 47
144000, 1568386717, 2019/9/13 14:58:37, Active, 33.20, 24.30, 47
145000, 1568386718, 2019/9/13 14:58:38, Active, 33.20, 24.30, 47
145998, 1568386719, 2019/9/13 14:58:39, Active, 33.30, 24.40, 48
147000, 1568386720, 2019/9/13 14:58:40, Active, 33.30, 24.40, 46
147998, 1568386721, 2019/9/13 14:58:41, Inactive, 33.30, 24.40, 48
148999, 1568386722, 2019/9/13 14:58:42, Inactive, 33.20, 24.30, 48
149998, 1568386723, 2019/9/13 14:58:43, Inactive, 33.20, 24.30, 48
151000, 1568386724, 2019/9/13 14:58:44, Inactive, 33.20, 24.30, 48
151999, 1568386725, 2019/9/13 14:58:45, Active, 33.20, 24.30, 48
152999, 1568386726, 2019/9/13 14:58:46, Active, 33.20, 24.30, 49
153999, 1568386727, 2019/9/13 14:58:47, Active, 33.20, 24.30, 48
154998, 1568386728, 2019/9/13 14:58:48, Active, 33.20, 24.30, 49
156000, 1568386729, 2019/9/13 14:58:49, Active, 33.30, 24.30, 47
156999, 1568386730, 2019/9/13 14:58:50, Active, 33.30, 24.30, 47
157999, 1568386731, 2019/9/13 14:58:51, Active, 33.20, 24.30, 47
159000, 1568386732, 2019/9/13 14:58:52, Inactive, 33.20, 24.30, 46
159998, 1568386733, 2019/9/13 14:58:53, Inactive, 33.20, 24.30, 47
160999, 1568386734, 2019/9/13 14:58:54, Inactive, 33.20, 24.30, 47
161999, 1568386735, 2019/9/13 14:58:55, Inactive, 33.20, 24.30, 47
162999, 1568386736, 2019/9/13 14:58:56, Inactive, 33.20, 24.30, 47
163998, 1568386737, 2019/9/13 14:58:57, Inactive, 33.20, 24.30, 47
165000, 1568386738, 2019/9/13 14:58:58, Inactive, 33.20, 24.30, 48
165999, 1568386739, 2019/9/13 14:58:59, Inactive, 33.20, 24.30, 48
167000, 1568386740, 2019/9/13 14:59:0, Inactive, 33.20, 24.30, 48
167999, 1568386741, 2019/9/13 14:59:1, Inactive, 33.20, 24.30, 48
168999, 1568386742, 2019/9/13 14:59:2, Inactive, 33.20, 24.30, 48
169999, 1568386743, 2019/9/13 14:59:3, Inactive, 33.20, 24.30, 48
170999, 1568386744, 2019/9/13 14:59:4, Inactive, 33.20, 24.30, 48
171999, 1568386745, 2019/9/13 14:59:5, Inactive, 33.20, 24.30, 49
172998, 1568386746, 2019/9/13 14:59:6, Inactive, 33.20, 24.30, 49
173999, 1568386747, 2019/9/13 14:59:7, Inactive, 33.20, 24.30, 49
174999, 1568386748, 2019/9/13 14:59:8, Inactive, 33.20, 24.30, 49
176000, 1568386749, 2019/9/13 14:59:9, Inactive, 33.20, 24.30, 49
176999, 1568386750, 2019/9/13 14:59:10, Inactive, 33.20, 24.30, 48
177999, 1568386751, 2019/9/13 14:59:11, Inactive, 33.20, 24.30, 48
178999, 1568386752, 2019/9/13 14:59:12, Inactive, 33.20, 24.30, 48
179998, 1568386753, 2019/9/13 14:59:13, Inactive, 33.20, 24.20, 48
181000, 1568386754, 2019/9/13 14:59:14, Inactive, 33.20, 24.20, 48
181998, 1568386755, 2019/9/13 14:59:15, Inactive, 33.20, 24.20, 48
183000, 1568386756, 2019/9/13 14:59:16, Inactive, 33.20, 24.20, 48
183999, 1568386757, 2019/9/13 14:59:17, Inactive, 33.30, 24.30, 48
184999, 1568386758, 2019/9/13 14:59:18, Inactive, 33.30, 24.30, 49
185998, 1568386759, 2019/9/13 14:59:19, Inactive, 33.30, 24.30, 49
186999, 1568386760, 2019/9/13 14:59:20, Inactive, 33.20, 24.20, 49
187999, 1568386761, 2019/9/13 14:59:21, Inactive, 33.20, 24.20, 48
188999, 1568386762, 2019/9/13 14:59:22, Inactive, 33.20, 24.20, 47
189999, 1568386763, 2019/9/13 14:59:23, Inactive, 33.30, 24.20, 47
190998, 1568386764, 2019/9/13 14:59:24, Inactive, 33.30, 24.20, 47
192000, 1568386765, 2019/9/13 14:59:25, Inactive, 33.30, 24.20, 47
192999, 1568386766, 2019/9/13 14:59:26, Inactive, 33.30, 24.20, 47
193999, 1568386767, 2019/9/13 14:59:27, Inactive, 33.30, 24.20, 47
194999, 1568386768, 2019/9/13 14:59:28, Inactive, 33.40, 24.30, 47
195999, 1568386769, 2019/9/13 14:59:29, Inactive, 33.40, 24.30, 47
197000, 1568386770, 2019/9/13 14:59:30, Inactive, 33.40, 24.20, 47
197999, 1568386771, 2019/9/13 14:59:31, Inactive, 33.40, 24.20, 48
199000, 1568386772, 2019/9/13 14:59:32, Inactive, 33.30, 24.20, 48
199999, 1568386773, 2019/9/13 14:59:33, Inactive, 33.30, 24.20, 48
200999, 1568386774, 2019/9/13 14:59:34, Inactive, 33.30, 24.20, 48
202000, 1568386775, 2019/9/13 14:59:35, Inactive, 33.30, 24.20, 48
202999, 1568386776, 2019/9/13 14:59:36, Inactive, 33.30, 24.20, 48
203999, 1568386777, 2019/9/13 14:59:37, Inactive, 33.30, 24.20, 48
204999, 1568386778, 2019/9/13 14:59:38, Inactive, 33.30, 24.20, 48
