millis,stamp,datetime,motion_sensor_1,motion_sensor_2,temperature,sound_digital
999,1569520816,2019/9/26 18:0:16,0,1,26.3,1
3998,1569520819,2019/9/26 18:0:19,0,1,26.2,1
7000,1569520822,2019/9/26 18:0:22,0,1,26.2,1
9999,1569520825,2019/9/26 18:0:25,0,1,26.2,1
12998,1569520828,2019/9/26 18:0:28,0,1,26.2,1
15998,1569520831,2019/9/26 18:0:31,0,1,26.2,1
19000,1569520834,2019/9/26 18:0:34,0,1,26.2,1
21998,1569520837,2019/9/26 18:0:37,0,1,26.2,1
24998,1569520840,2019/9/26 18:0:40,0,1,26.2,1
28000,1569520843,2019/9/26 18:0:43,0,1,26.2,1
42998,1569520859,2019/9/26 18:0:59,0,0,26.1,1
122000,1569520938,2019/9/26 18:2:18,0,0,25.8,0
133999,1569520950,2019/9/26 18:2:30,0,0,25.8,0
136999,1569520953,2019/9/26 18:2:33,0,0,25.8,0
140998,1569520957,2019/9/26 18:2:37,0,0,25.8,0
143998,1569520960,2019/9/26 18:2:40,0,1,25.8,0
147999,1569520964,2019/9/26 18:2:44,0,1,25.8,0
151999,1569520968,2019/9/26 18:2:48,0,0,25.8,0
154999,1569520971,2019/9/26 18:2:51,0,0,25.8,0
158000,1569520974,2019/9/26 18:2:54,0,1,25.8,0
161999,1569520979,2019/9/26 18:2:59,0,0,25.7,0
165000,1569520982,2019/9/26 18:3:2,0,0,25.8,0
167998,1569520985,2019/9/26 18:3:5,0,0,25.7,0
170998,1569520988,2019/9/26 18:3:8,0,0,25.7,0
174000,1569520991,2019/9/26 18:3:11,0,0,25.7,0
176999,1569520994,2019/9/26 18:3:14,0,0,25.7,0
179998,1569520997,2019/9/26 18:3:17,0,0,25.7,0
182999,1569521000,2019/9/26 18:3:20,0,0,25.7,0
186000,1569521003,2019/9/26 18:3:23,0,0,25.7,0
188999,1569521006,2019/9/26 18:3:26,0,0,25.7,0
191998,1569521009,2019/9/26 18:3:29,0,0,25.7,0
195000,1569521012,2019/9/26 18:3:32,0,0,25.7,0
197999,1569521015,2019/9/26 18:3:35,0,0,25.7,1
200999,1569521018,2019/9/26 18:3:38,0,0,25.7,1
203999,1569521021,2019/9/26 18:3:41,0,1,25.7,1
207998,1569521025,2019/9/26 18:3:45,0,0,25.7,1
210999,1569521028,2019/9/26 18:3:48,0,0,25.7,0
211999,1569521029,2019/9/26 18:3:49,0,0,25.7,1
214999,1569521032,2019/9/26 18:3:52,0,0,25.7,0
215999,1569521033,2019/9/26 18:3:53,0,0,25.7,1
218998,1569521036,2019/9/26 18:3:56,0,0,25.7,0
220000,1569521037,2019/9/26 18:3:57,0,0,25.7,0
220998,1569521038,2019/9/26 18:3:58,0,1,25.7,0
222998,1569521040,2019/9/26 18:4:0,0,0,25.7,1
225999,1569521043,2019/9/26 18:4:3,0,0,25.7,1
